{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:04Z', 'requestId': '1', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 39, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 66, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1424, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1129, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.21, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:26Z', 'requestId': '12', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 69, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1357, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1155, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 33, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.114, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:28Z', 'requestId': '13', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 815, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 45, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 699, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1105, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.1, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:30Z', 'requestId': '14', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1126, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1038, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1432, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 594, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.109, 'memory': 0.48100000000000004}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:32Z', 'requestId': '15', 'serviceName': 'calls/health', 'status': 'HEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 67, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 45, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 67, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 81, 'statusCode': 200}], 'message': 'All systems operational', 'metrics': {'cpu': 0.098, 'memory': 0.48}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:34Z', 'requestId': '16', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1425, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1290, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 89, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 31, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.151, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:36Z', 'requestId': '17', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 850, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1131, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 59, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1357, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.134, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:38Z', 'requestId': '18', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 555, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 946, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 949, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 97, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.11800000000000001, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:40Z', 'requestId': '19', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 53, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1162, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1332, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 556, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.115, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:42Z', 'requestId': '20', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 966, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1408, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 598, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 836, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.127, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:44Z', 'requestId': '21', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 44, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 73, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 52, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 654, 'statusCode': 500}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.151, 'memory': 0.48}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:46Z', 'requestId': '22', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 74, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1395, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 98, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 45, 'statusCode': 200}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.14400000000000002, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:48Z', 'requestId': '23', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 631, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 30, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 99, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 53, 'statusCode': 200}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.105, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:50Z', 'requestId': '24', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1373, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 78, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1489, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 87, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.132, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:52Z', 'requestId': '25', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 46, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 530, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1351, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 84, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.099, 'memory': 0.47700000000000004}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:54Z', 'requestId': '26', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 856, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 57, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 74, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 44, 'statusCode': 200}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.115, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:56Z', 'requestId': '27', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1124, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 90, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1231, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1428, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.142, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:58Z', 'requestId': '28', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 48, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 652, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 729, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1370, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.11599999999999999, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:00Z', 'requestId': '29', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 585, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 586, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 96, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1288, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.11599999999999999, 'memory': 0.48}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:02Z', 'requestId': '30', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1289, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 756, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1150, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 49, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.10300000000000001, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:04Z', 'requestId': '31', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 30, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 61, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 807, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 100, 'statusCode': 200}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.11800000000000001, 'memory': 0.48}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:06Z', 'requestId': '32', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1460, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 676, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 44, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 791, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.14, 'memory': 0.48100000000000004}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:08Z', 'requestId': '33', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1436, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 771, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 49, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 40, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.1, 'memory': 0.479}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:10Z', 'requestId': '34', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 644, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1035, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 851, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1353, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.115, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:12Z', 'requestId': '35', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1318, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 99, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1049, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1424, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.09300000000000001, 'memory': 0.48}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:14Z', 'requestId': '36', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1319, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 655, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1114, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1185, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.142, 'memory': 0.48}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:16Z', 'requestId': '37', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 64, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1129, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 782, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 61, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.218, 'memory': 0.48}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:18Z', 'requestId': '38', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 70, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 51, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 804, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1190, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.111, 'memory': 0.48}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:31:20Z', 'requestId': '39', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1495, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1436, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 792, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 84, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.10099999999999999, 'memory': 0.479}}
